|    |                                                                                   Наименование |            Формат |                                                                                                                                                                                                                                                                                                                                                       Ссылка  | Кому было бы полезно?            |
| 33 | Знакомство с структурой клиент серверных приложений                                            | видео             | https://itvdn.com/ru/video/web_testing?utm_source=yb_full_webtest                                                                                                                                                                                                                                                                                             | nan                              |
| 34 | В погоне за производительностью: психология пользователя- Денис Мишунов                        | видео             | https://www.youtube.com/watch?v=i9cOoipvST8                                                                                                                                                                                                                                                                                                                   | nan                              |
| 35 | Русскоязычное сообщество тестировщиков (Slack, разные каналы)                                  | чаты              | https://software-testers.herokuapp.com/                                                                                                                                                                                                                                                                                                                       | всем                             |
| 36 | Сборник материалов по использованию Nightwatch.js                                              | материалы         | https://trello.com/b/2hvbzg9y/nightwatchjs                                                                                                                                                                                                                                                                                                                    | автоматизаторам                  |
| 37 | Тестирование API © Антон Серпутько, Terrasoft, StartIT                                         | Видео 1,4 часа    | https://youtube.com/watch?v=XR0YXH0ue2I                                                                                                                                                                                                                                                                                                                       | nan                              |
| 38 | Подборка материалов для подготовки к QA Interview                                              | статья            | https://xwizard-test.blogspot.ru/2017/02/qa-interview-qa-automation-python-linux.html                                                                                                                                                                                                                                                                         | всем                             |
| 39 | Азы тестирования подробно и доходчиво                                                          | Статьи            | http://testbase.ru/                                                                                                                                                                                                                                                                                                                                           | начинающим                       |
| 40 | Видеолекция М.Поляруша о локаторах                                                             | видео             | https://www.youtube.com/watch?v=ahhaMbjqrxM&t=2157s                                                                                                                                                                                                                                                                                                           | автоматизаторам                  |
| 41 | Краткая шпаргалка по всем командам Git                                                         | статья            | http://rogerdudler.github.io/git-guide/index.ru.html                                                                                                                                                                                                                                                                                                          | автоматизаторам                  |
| 42 | Материалы для самоподготовки                                                                   | статья            | https://training.by/News/Details/94/%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B_%D0%B4%D0%BB%D1%8F_%D1%81%D0%B0%D0%BC%D0%BE%D0%BF%D0%BE%D0%B4%D0%B3%D0%BE%D1%82%D0%BE%D0%B2%D0%BA%D0%B8_%D0%B4%D0%BB%D1%8F_%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA%D0%BE%D0%B2_%D0%B8_%D0%BD%D0%B5_%D1%82%D0%BE%D0%BB%D1%8C%D0%BA%D0%BE | всем                             |
| 43 | Selenium для Python (Почти полное руководство)                                                 | статья            | https://habrahabr.ru/post/248559/                                                                                                                                                                                                                                                                                                                             | Автоматизаторам                  |
| 44 | Как протестировать поле логина и пароля.                                                       | статья            | https://testitquickly.com/2009/09/09/vvodeste-loginu-la-adnaklassni6i/                                                                                                                                                                                                                                                                                        | всем                             |
| 45 | Пример тест плана                                                                              | пример тест-плана | https://ru.scribd.com/document/39391857/TestPlanTemplateV1-0                                                                                                                                                                                                                                                                                                  | всем                             |
| 46 | Чек-лист для проверки мобильных приложений                                                     | статья            | https://www.guru99.com/testing-mobile-apps.html                                                                                                                                                                                                                                                                                                               | тес-кам моб.приложений           |
| 47 | Чек-лист для проверки мобильных приложений                                                     | статья            | http://www.softwaretestinghelp.com/beginners-guide-to-mobile-application-testing/                                                                                                                                                                                                                                                                             | тес-кам моб.приложений           |
| 48 | 40 Самых популярных вопросов на собеседовании для моб. тестировщика                            | статья            | http://www.softwaretestinghelp.com/mobile-testing-interview-questions-answers/                                                                                                                                                                                                                                                                                | тес-кам моб.приложений           |
| 49 | Top 100+ вопросов по Selenium для собеседования, с ответами.                                   | статья            | https://geteasyqa.com/ru/qa/best-selenium-interview-questions/                                                                                                                                                                                                                                                                                                | Автоматизаторам                  |
| 50 | Универсальная схема для тестирования веб-приложений                                            | статья            | https://dou.ua/lenta/articles/scheme-for-qa/?utm_content=id&utm_source=telegram&utm_campaign=smm_posts&utm_term=&utm_medium=kuku                                                                                                                                                                                                                              | всем                             |
| 51 | Тесты для функционального тестирования Windows приложений                                      | статья            | http://download.microsoft.com/download/8/D/9/8D995CB3-2C3E-43B4-97D3-B372FBF6C7EF/STARTS%20Quality%20Bar%20FY2016.pdf                                                                                                                                                                                                                                         | тестировщикам десктоп приложений |
| 52 | Основы компьютерных сетей                                                                      | статья            | https://habr.com/post/307252/                                                                                                                                                                                                                                                                                                                                 | всем                             |
| 53 | Сети для самых маленьких                                                                       | статья            | https://habr.com/post/134892/                                                                                                                                                                                                                                                                                                                                 | всем                             |
| 54 | UI controls на русском. Список терминов для фронта                                             | список            | https://habr.com/ru/post/223929/                                                                                                                                                                                                                                                                                                                              | всем                             |
| 55 | Собрание чеклистов для проверок                                                                | список            | https://checkvist.com/checklists/476089-checklists-base                                                                                                                                                                                                                                                                                                       | всем                             |
| 56 | Гайд по devtools                                                                               | nan               | https://developers.google.com/web/tools/chrome-devtools                                                                                                                                                                                                                                                                                                       | веб                              |
| 57 | Тестирование удобства использования и доступности                                              | статья            | https://www.cjcid.com/articles/unexpected-a11y-tips/                                                                                                                                                                                                                                                                                                          | всем                             |
| 58 | Вопросы на собеседовании                                                                       | статья            | https://github.com/Vladislav610/QA_bible/blob/master/README.md                                                                                                                                                                                                                                                                                                | джунам                           |
| 59 | ГАЙД: Как вкатиться в автоматизацию тестирования                                               | гайд              | https://medium.com/@vrode_v_prode/%D0%B3%D0%B0%D0%B9%D0%B4-%D0%BA%D0%B0%D0%BA-%D0%B2%D0%BA%D0%B0%D1%82%D0%B8%D1%82%D1%8C%D1%81%D1%8F-%D0%B2-%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8E-%D1%82%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-90e3c422da6c                                              | Автоматизаторам                  |
